[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/index.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/main.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/Chart.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-maxlength/bootstrap-maxlength.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/jquery-tagsinput/jquery.tagsinput.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/jquery-confirm/jquery-confirm.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-table/bootstrap-table.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-table/extensions/export/bootstrap-table-export.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/tableExport.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-table/locale/bootstrap-table-zh-CN.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/myutils.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/jquery-treegrid/jquery.treegrid.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-table/extensions/treegrid/bootstrap-table-treegrid.min.js
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/achievement
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-25 16:24:30] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/fonts/materialdesignicons-webfont.woff2?v=4.1.95
