[2024-11-01 18:16:03] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/course
[2024-11-01 18:16:03] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:03] | DEBUG | app.py:print_request_info:58 | 接口请求数据:""
[2024-11-01 18:17:40] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/achievement?query=3
[2024-11-01 18:17:40] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:12] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/achievement?query=all
[2024-11-01 18:25:12] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:16] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/achievement?query=all
[2024-11-01 18:25:16] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:18] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/achievement?query=3
[2024-11-01 18:25:18] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:20] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/achievement?query=all
[2024-11-01 18:25:20] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/achievement
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/css/bootstrap.min.css
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/css/materialdesignicons.min.css
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-multitabs/multitabs.min.css
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/jquery-confirm/jquery-confirm.min.css
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/css/style.min.css
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/css/animate.min.css
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap.min.js
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/jquery.min.js
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:25:21] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
